folder_name,AE_mm_auc,AE_mm_avgprecision
abalone-17_vs_7-8-9-10,0.58076225,0.917337743
abalone-19_vs_10-11-12-13,0.551080975,0.982237128
abalone-20_vs_8-9-10,0.592979243,0.961869758
abalone-21_vs_8,0.804106828,0.707366787
abalone-3_vs_11,1,1
abalone19,0.541518288,0.991679034
abalone9-18,0.657025365,0.88072055
car-good,0.675288938,0.876876434
car-vgood,0.637892594,0.942735859
cleveland-0_vs_4,0.791346154,0.610544604
dermatology-6,0.926627219,0.664483012
ecoli-0-1-3-7_vs_2-6,0.802919708,0.654927112
ecoli-0-1-4-6_vs_5,0.717692308,0.839361774
ecoli-0-1-4-7_vs_2-3-5-6,0.71009772,0.643703503
ecoli-0-1-4-7_vs_5-6,0.737198697,0.694058974
ecoli-0-1_vs_2-3-5,0.723106061,0.707547962
ecoli-0-1_vs_5,0.765454545,0.752725721
ecoli-0-2-3-4_vs_5,0.677747253,0.813391406
ecoli-0-2-6-7_vs_3-5,0.712646265,0.676684164
ecoli-0-3-4-6_vs_5,0.651081081,0.838472687
ecoli-0-3-4-7_vs_5-6,0.691034483,0.725789475
ecoli-0-3-4_vs_5,0.678611111,0.810927902
ecoli-0-4-6_vs_5,0.688251366,0.782552062
ecoli-0-6-7_vs_3-5,0.678863636,0.699682107
ecoli-0-6-7_vs_5,0.697,0.772560906
ecoli-0_vs_1,0.617927527,0.574480388
ecoli1,0.564759565,0.800401327
ecoli2,0.577938787,0.869780709
ecoli3,0.611675368,0.913928571
ecoli4,0.757278481,0.835677582
flare-F,0.824831208,0.809200592
glass-0-1-2-3_vs_4-5-6,0.85119692,0.589738333
glass-0-1-4-6_vs_2,0.600750939,0.931060058
glass-0-1-5_vs_2,0.525616698,0.900660112
glass-0-1-6_vs_2,0.585882353,0.92412513
glass-0-1-6_vs_5,0.70031746,0.898726996
glass-0-4_vs_5,0.639892905,0.79744817
glass-0-6_vs_5,0.574635241,0.77188001
glass0,0.662003968,0.755705519
glass1,0.578375286,0.6658527
glass2,0.639295312,0.938045192
glass4,0.789513969,0.703976935
glass5,0.565311653,0.928125426
glass6,0.888723206,0.597352141
habermanImb,0.508916324,0.689719094
iris0,0.9662,0.90073809
kr-vs-k-one_vs_fifteen,0.999928972,0.998044661
kr-vs-k-three_vs_eleven,0.676944639,0.961280521
kr-vs-k-zero-one_vs_draw,0.712504258,0.938230385
kr-vs-k-zero_vs_eight,0.67286966,0.971256786
kr-vs-k-zero_vs_fifteen,1,1
led7digit-0-2-4-5-6-7-8-9_vs_1,0.901377979,0.553373719
lymphography-normal-fibrosis,0.996478873,0.930555556
new-thyroid1,0.844444444,0.563084177
new-thyroid2,0.837142857,0.56842369
page-blocks-1-3_vs_4,0.587194337,0.717446076
page-blocks0,0.904579941,0.508888063
pimaImb,0.589231343,0.568003448
poker-8-9_vs_5,0.555590244,0.981356258
poker-8-9_vs_6,0.555315068,0.968058592
poker-8_vs_6,0.54560838,0.987002492
poker-9_vs_7,0.638771186,0.936363864
segment0,0.730927013,0.906757475
shuttle-2_vs_5,0.952874446,0.637337576
shuttle-6_vs_2-3,0.920454545,0.615316238
shuttle-c0-vs-c4,0.998494076,0.936386986
shuttle-c2-vs-c4,0.974254743,0.508928571
vehicle0,0.554045343,0.746734293
vehicle1,0.52618083,0.742391863
vehicle2,0.545141121,0.732998132
vehicle3,0.56463901,0.731471071
vowel0,0.94166048,0.551353579
winequality-red-3_vs_5,0.797503671,0.957919308
winequality-red-4,0.599196954,0.936882505
winequality-red-8_vs_6-7,0.61051374,0.962792901
winequality-red-8_vs_6,0.676680599,0.9430862
winequality-white-3-9_vs_5,0.794344544,0.827716452
winequality-white-3_vs_7,0.839318182,0.57799716
winequality-white-9_vs_4,0.566871166,0.959346916
wisconsinImb,0.888320329,0.890152818
yeast-0-2-5-6_vs_3-7-8-9,0.746514872,0.684119677
yeast-0-2-5-7-9_vs_3-6-8,0.797879346,0.727492365
yeast-0-3-5-9_vs_7-8,0.607982456,0.818703737
yeast-0-5-6-7-9_vs_4,0.620010688,0.871723269
yeast-1-2-8-9_vs_7,0.644020356,0.945973083
yeast-1-4-5-8_vs_7,0.527953746,0.954974576
yeast-1_vs_7,0.664024864,0.874617778
yeast-2_vs_4,0.850506077,0.709374275
yeast-2_vs_8,0.75021645,0.727984877
yeast1,0.53832897,0.732483841
yeast3,0.617049735,0.870242695
yeast4,0.730922376,0.932926108
yeast5,0.878929924,0.88870713
yeast6,0.754135857,0.947993228
zoo-3,0.5375,0.933591049
