folder_name,IQR_LMDD_mm_auc,IQR_LMDD_mm_avgprecision
abalone-17_vs_7-8-9-10,0.510790986,0.943651356
abalone-19_vs_10-11-12-13,0.502220912,0.98015318
abalone-20_vs_8-9-10,0.543528694,0.92187919
abalone-21_vs_8,0.731733434,0.665805926
abalone-3_vs_11,0.770704997,0.9344706
abalone19,0.513063586,0.988968273
abalone9-18,0.588793282,0.908173098
car-good,0.5,0.960069444
car-vgood,0.5,0.962384259
cleveland-0_vs_4,0.933413462,0.553749232
dermatology-6,0.559837278,0.948101532
ecoli-0-1-3-7_vs_2-6,0.624608968,0.977083673
ecoli-0-1-4-6_vs_5,0.706057692,0.835100317
ecoli-0-1-4-7_vs_2-3-5-6,0.679209255,0.828322294
ecoli-0-1-4-7_vs_5-6,0.584625407,0.871254318
ecoli-0-1_vs_2-3-5,0.661742424,0.842195867
ecoli-0-1_vs_5,0.731704545,0.797841756
ecoli-0-2-3-4_vs_5,0.731730769,0.806473907
ecoli-0-2-6-7_vs_3-5,0.758438344,0.711983496
ecoli-0-3-4-6_vs_5,0.564459459,0.880864704
ecoli-0-3-4-7_vs_5-6,0.596724138,0.918786202
ecoli-0-3-4_vs_5,0.646666667,0.861375965
ecoli-0-4-6_vs_5,0.67295082,0.811633945
ecoli-0-6-7_vs_3-5,0.759090909,0.769206908
ecoli-0-6-7_vs_5,0.85575,0.572417298
ecoli-0_vs_1,0.752747253,0.501710062
ecoli1,0.536754751,0.734076219
ecoli2,0.787852113,0.901688595
ecoli3,0.756858092,0.585477571
ecoli4,0.517325949,0.893127118
flare-F,0.669144559,0.887612733
glass-0-1-2-3_vs_4-5-6,0.84193432,0.559207995
glass-0-1-4-6_vs_2,0.546777222,0.924834005
glass-0-1-5_vs_2,0.59487666,0.9055238
glass-0-1-6_vs_2,0.59512605,0.91842122
glass-0-1-6_vs_5,0.756825397,0.901746141
glass-0-4_vs_5,0.74832664,0.821594708
glass-0-6_vs_5,0.854657688,0.509238057
glass0,0.683829365,0.738799967
glass1,0.588720442,0.690125675
glass2,0.516273514,0.91712042
glass4,0.705319556,0.892972767
glass5,0.724119241,0.90457366
glass6,0.905871389,0.553949781
habermanImb,0.518628258,0.73404157
iris0,0.6595,0.74032673
kr-vs-k-one_vs_fifteen,0.5,0.965240642
kr-vs-k-three_vs_eleven,0.738733595,0.943835749
kr-vs-k-zero-one_vs_draw,0.639035357,0.949407488
kr-vs-k-zero_vs_eight,0.619381768,0.975386305
kr-vs-k-zero_vs_fifteen,0.553161657,0.988832598
led7digit-0-2-4-5-6-7-8-9_vs_1,0.854812941,0.715901193
lymphography-normal-fibrosis,0.5,0.959459459
new-thyroid1,0.858571429,0.571464319
new-thyroid2,0.827936508,0.514297409
page-blocks-1-3_vs_4,0.552767053,0.80151136
page-blocks0,0.594446045,0.702608145
pimaImb,0.551085821,0.659460161
poker-8-9_vs_5,0.666692683,0.970645268
poker-8-9_vs_6,0.590767123,0.973942734
poker-8_vs_6,0.639363417,0.981718749
poker-9_vs_7,0.767743644,0.720195754
segment0,0.70982858,0.894728892
shuttle-2_vs_5,0.986275869,0.617064459
shuttle-6_vs_2-3,0.59,0.961435201
shuttle-c0-vs-c4,0.504274726,0.91626089
shuttle-c2-vs-c4,0.58604336,0.930657795
vehicle0,0.517937446,0.786498149
vehicle1,0.581645213,0.675199381
vehicle2,0.564738795,0.713109387
vehicle3,0.604089786,0.689564936
vowel0,0.706081415,0.838937104
winequality-red-3_vs_5,0.694566814,0.96288842
winequality-red-4,0.590019283,0.938728924
winequality-red-8_vs_6-7,0.643335988,0.938654358
winequality-red-8_vs_6,0.537182166,0.953506523
winequality-white-3-9_vs_5,0.646698696,0.954256928
winequality-white-3_vs_7,0.669772727,0.877251882
winequality-white-9_vs_4,0.585276074,0.958744532
wisconsinImb,0.628661088,0.524839614
yeast-0-2-5-6_vs_3-7-8-9,0.672420336,0.749329803
yeast-0-2-5-7-9_vs_3-6-8,0.694982979,0.71420407
yeast-0-3-5-9_vs_7-8,0.595394737,0.877165479
yeast-0-5-6-7-9_vs_4,0.545278908,0.840457577
yeast-1-2-8-9_vs_7,0.702689931,0.920378483
yeast-1-4-5-8_vs_7,0.646405229,0.850675704
yeast-1_vs_7,0.725058275,0.78945201
yeast-2_vs_4,0.80618727,0.53433758
yeast-2_vs_8,0.604924242,0.936564246
yeast1,0.573762415,0.743177946
yeast3,0.603047515,0.906705989
yeast4,0.676217451,0.916593275
yeast5,0.915277778,0.810213205
yeast6,0.80200138,0.906726811
zoo-3,0.685416667,0.957018013
