folder_name,VAE_mm_auc,VAE_mm_avgprecision
abalone-17_vs_7-8-9-10,0.5965970961887477,0.9137008180328737
abalone-19_vs_10-11-12-13,0.5606721698113207,0.9820036906831159
abalone-20_vs_8-9-10,0.6133903133903135,0.9594520712022406
abalone-21_vs_8,0.8328294280675232,0.6340735187439837
abalone-3_vs_11,1.0,1.0
abalone19,0.5371876508932882,0.991528076241098
abalone9-18,0.6760315156541571,0.8624522180516141
car-good,0.6513178010151043,0.944451673800589
car-vgood,0.5457329201165642,0.9665319783970867
cleveland-0_vs_4,0.8860576923076924,0.5336284227443763
dermatology-6,0.9041420118343195,0.5761609971199582
ecoli-0-1-3-7_vs_2-6,0.8660062565172055,0.6502235342297454
ecoli-0-1-4-6_vs_5,0.6874999999999999,0.8563821899001767
ecoli-0-1-4-7_vs_2-3-5-6,0.691227676064248,0.65291880922644
ecoli-0-1-4-7_vs_5-6,0.7898371335504886,0.6346660117812238
ecoli-0-1_vs_2-3-5,0.8331439393939394,0.5595150313999027
ecoli-0-1_vs_5,0.7288636363636364,0.7969785229398857
ecoli-0-2-3-4_vs_5,0.8002747252747253,0.71145099533041
ecoli-0-2-6-7_vs_3-5,0.7698019801980198,0.6371219374754845
ecoli-0-3-4-6_vs_5,0.7810810810810811,0.7687235249209209
ecoli-0-3-4-7_vs_5-6,0.778103448275862,0.6724721929197726
ecoli-0-3-4_vs_5,0.7786111111111111,0.7397764520951968
ecoli-0-4-6_vs_5,0.7644808743169399,0.7277789547110388
ecoli-0-6-7_vs_3-5,0.8088636363636363,0.5966224356303734
ecoli-0-6-7_vs_5,0.64325,0.804781995817739
ecoli-0_vs_1,0.8395241122513849,0.5238289956540051
ecoli1,0.5810058667201525,0.7442650481885067
ecoli2,0.5526137594799567,0.8599894737379316
ecoli3,0.6429046037019459,0.8534399588991473
ecoli4,0.8180379746835443,0.7882943317397072
flare-F,0.8339925890563551,0.8060861738060139
glass-0-1-2-3_vs_4-5-6,0.8498736918080115,0.5889828341767896
glass-0-1-4-6_vs_2,0.6307884856070087,0.9339963250746943
glass-0-1-5_vs_2,0.5043643263757116,0.8977395427698125
glass-0-1-6_vs_2,0.624873949579832,0.9279139623978231
glass-0-1-6_vs_5,0.6819047619047619,0.9023522686145602
glass-0-4_vs_5,0.7081659973226238,0.7864344951137205
glass-0-6_vs_5,0.5510662177328843,0.7783037772469155
glass0,0.6926587301587301,0.7639798890427568
glass1,0.5706521739130435,0.665832642187967
glass2,0.6685577784413258,0.940410753803499
glass4,0.7952544967470341,0.6952250699010444
glass5,0.5994579945799459,0.9300140395245307
glass6,0.8911463187325256,0.5962745287612127
habermanImb,0.5589574759945131,0.6479295566604255
iris0,0.908,0.6986479961627715
kr-vs-k-one_vs_fifteen,0.9999112152851766,0.9975774517920584
kr-vs-k-three_vs_eleven,0.6733412927059271,0.9616556141693648
kr-vs-k-zero-one_vs_draw,0.7093977791402684,0.9390158746206257
kr-vs-k-zero_vs_eight,0.6657620635289861,0.9721500793845284
kr-vs-k-zero_vs_fifteen,1.0,0.9999999999999998
led7digit-0-2-4-5-6-7-8-9_vs_1,0.9073691918519505,0.532966444006485
lymphography-normal-fibrosis,0.9964788732394366,0.9305555555555556
new-thyroid1,0.8812698412698412,0.5360675539953839
new-thyroid2,0.853015873015873,0.5751285611821062
page-blocks-1-3_vs_4,0.6015122265122265,0.7129186290823335
page-blocks0,0.9043288824836594,0.508077340251328
pimaImb,0.6548358208955223,0.5166483530747407
poker-8-9_vs_5,0.5630243902439025,0.9639993907898399
poker-8-9_vs_6,0.5575616438356165,0.9460829621538623
poker-8_vs_6,0.5558017727639001,0.9867521823396475
poker-9_vs_7,0.823093220338983,0.6037096954539081
segment0,0.7421466430959728,0.908158656369581
shuttle-2_vs_5,0.9529306672163815,0.6373312439047858
shuttle-6_vs_2-3,0.9281818181818182,0.6149341067737295
shuttle-c0-vs-c4,0.9985179042880697,0.9370869020745798
shuttle-c2-vs-c4,0.9715447154471545,0.5295935545935546
vehicle0,0.5961647495592336,0.7758939635999307
vehicle1,0.5710109675954078,0.7145907342232434
vehicle2,0.5702755215333372,0.7342295325960856
vehicle3,0.5920108922087971,0.7137716890187097
vowel0,0.9401880722593418,0.5675245260929308
winequality-red-3_vs_5,0.8080763582966226,0.957080251870533
winequality-red-4,0.5912031047865459,0.9379458192092814
winequality-red-8_vs_6-7,0.6051373954599761,0.9639661138635667
winequality-red-8_vs_6,0.6792058516196449,0.9429161185002403
winequality-white-3-9_vs_5,0.7937131091283459,0.8272350453952928
winequality-white-3_vs_7,0.840625,0.5792848059957219
winequality-white-9_vs_4,0.6036809815950921,0.9558498686296224
wisconsinImb,0.954936107655773,0.9549024989277138
yeast-0-2-5-6_vs_3-7-8-9,0.7525419945309448,0.6730000566375196
yeast-0-2-5-7-9_vs_3-6-8,0.8160611641274624,0.7040956209925344
yeast-0-3-5-9_vs_7-8,0.6027192982456141,0.821728848084321
yeast-0-5-6-7-9_vs_4,0.6387963990627699,0.8599225740851765
yeast-1-2-8-9_vs_7,0.6387131952017449,0.9451883132817698
yeast-1-4-5-8_vs_7,0.532780291603821,0.9534854152757077
yeast-1_vs_7,0.657031857031857,0.8708070006276905
yeast-2_vs_4,0.8520306610765256,0.6946137177144782
yeast-2_vs_8,0.7462121212121212,0.7234567142906823
yeast1,0.5403042455175157,0.7337274736955195
yeast3,0.621275943582432,0.8688661923172509
yeast4,0.7342199964424011,0.9302551030550704
yeast5,0.8866792929292929,0.8830886692414709
yeast6,0.7689638174110224,0.9446451528413403
zoo-3,0.5687499999999999,0.9379237878627543
