folder_name,AE_auc,AE_avgprecision
abalone-17_vs_7-8-9-10,0.582259528,0.916955953
abalone-19_vs_10-11-12-13,0.551100629,0.982219287
abalone-20_vs_8-9-10,0.593833944,0.961814662
abalone-21_vs_8,0.81431091,0.674468063
abalone-3_vs_11,1,1
abalone19,0.541442842,0.991672299
abalone9-18,0.655573986,0.881558037
car-good,0.600082117,0.96952093
car-vgood,0.750978306,0.975936366
cleveland-0_vs_4,0.800480769,0.594390901
dermatology-6,0.938609467,0.707139232
ecoli-0-1-3-7_vs_2-6,0.808654849,0.654628608
ecoli-0-1-4-6_vs_5,0.723076923,0.835202932
ecoli-0-1-4-7_vs_2-3-5-6,0.720543637,0.634828126
ecoli-0-1-4-7_vs_5-6,0.727296417,0.701342289
ecoli-0-1_vs_2-3-5,0.75625,0.664319633
ecoli-0-1_vs_5,0.758636364,0.760268372
ecoli-0-2-3-4_vs_5,0.705769231,0.793774305
ecoli-0-2-6-7_vs_3-5,0.732673267,0.665259447
ecoli-0-3-4-6_vs_5,0.701621622,0.8105339
ecoli-0-3-4-7_vs_5-6,0.675344828,0.730848227
ecoli-0-3-4_vs_5,0.677777778,0.811764044
ecoli-0-4-6_vs_5,0.704918033,0.769411003
ecoli-0-6-7_vs_3-5,0.679090909,0.699619101
ecoli-0-6-7_vs_5,0.70625,0.767438184
ecoli-0_vs_1,0.612205976,0.577202248
ecoli1,0.561550419,0.799809541
ecoli2,0.554035753,0.861606363
ecoli3,0.541907926,0.902747049
ecoli4,0.740506329,0.846251152
flare-F,0.824831208,0.809200592
glass-0-1-2-3_vs_4-5-6,0.85119692,0.589738333
glass-0-1-4-6_vs_2,0.587922403,0.929800634
glass-0-1-5_vs_2,0.509677419,0.898735361
glass-0-1-6_vs_2,0.568739496,0.922198792
glass-0-1-6_vs_5,0.713015873,0.89543409
glass-0-4_vs_5,0.639892905,0.79744817
glass-0-6_vs_5,0.606060606,0.766175886
glass0,0.670535714,0.757933086
glass1,0.586193745,0.669814973
glass2,0.645864437,0.938564181
glass4,0.78377344,0.705785374
glass5,0.579945799,0.926967513
glass6,0.88667288,0.598162069
habermanImb,0.502386831,0.696867557
iris0,0.966,0.899212242
kr-vs-k-one_vs_fifteen,0.999928972,0.998044661
kr-vs-k-three_vs_eleven,0.677303676,0.961236468
kr-vs-k-zero-one_vs_draw,0.713222972,0.938078367
kr-vs-k-zero_vs_eight,0.672921351,0.971276726
kr-vs-k-zero_vs_fifteen,1,1
led7digit-0-2-4-5-6-7-8-9_vs_1,0.892790574,0.584251734
lymphography-normal-fibrosis,0.996478873,0.930555556
new-thyroid1,0.837142857,0.56842369
new-thyroid2,0.855238095,0.551655032
page-blocks-1-3_vs_4,0.587274775,0.716528791
page-blocks0,0.904579213,0.508883567
pimaImb,0.607313433,0.555549145
poker-8-9_vs_5,0.55502439,0.981655629
poker-8-9_vs_6,0.55509589,0.968051894
poker-8_vs_6,0.54532635,0.986997885
poker-9_vs_7,0.648834746,0.93504388
segment0,0.731909979,0.906877219
shuttle-2_vs_5,0.952824472,0.637346101
shuttle-6_vs_2-3,0.914545455,0.622650316
shuttle-c0-vs-c4,0.998494076,0.936386986
shuttle-c2-vs-c4,0.972899729,0.520502646
vehicle0,0.556344318,0.747543592
vehicle1,0.526217462,0.7423679
vehicle2,0.551167241,0.733776145
vehicle3,0.56033123,0.733931918
vowel0,0.941883197,0.554386204
winequality-red-3_vs_5,0.8020558,0.957303289
winequality-red-4,0.598904049,0.93693818
winequality-red-8_vs_6-7,0.610911987,0.962897917
winequality-red-8_vs_6,0.672849181,0.943562924
winequality-white-3-9_vs_5,0.794207275,0.827918605
winequality-white-3_vs_7,0.840511364,0.581141053
winequality-white-9_vs_4,0.552147239,0.960145955
wisconsinImb,0.841607298,0.851985717
yeast-0-2-5-6_vs_3-7-8-9,0.747452425,0.682335884
yeast-0-2-5-7-9_vs_3-6-8,0.800122775,0.724826155
yeast-0-3-5-9_vs_7-8,0.608026316,0.819878263
yeast-0-5-6-7-9_vs_4,0.600238418,0.878227419
yeast-1-2-8-9_vs_7,0.645837877,0.945848685
yeast-1-4-5-8_vs_7,0.530165913,0.954658321
yeast-1_vs_7,0.666122766,0.873434712
yeast-2_vs_4,0.852073011,0.706735871
yeast-2_vs_8,0.749891775,0.727316299
yeast1,0.538317922,0.732431218
yeast3,0.616994004,0.870260063
yeast4,0.730156124,0.933118629
yeast5,0.879135101,0.888647651
yeast6,0.755792172,0.947602065
zoo-3,0.5375,0.933621038
