folder_name,COPOD_auc,COPOD_avgprecision
abalone-17_vs_7-8-9-10,0.65659407138536,0.8954036736248108
abalone-19_vs_10-11-12-13,0.5417452830188678,0.980211014256897
abalone-20_vs_8-9-10,0.680952380952381,0.9635303357958225
abalone-21_vs_8,0.8300579491055682,0.6635700048915715
abalone-3_vs_11,0.995482546201232,0.8298338973261574
abalone19,0.5335209439884114,0.9895101474278126
abalone9-18,0.6749948165042504,0.8778468339036705
car-good,0.5075477631889299,0.9594655797101449
car-vgood,0.646537767704334,0.9427973646723646
cleveland-0_vs_4,0.94375,0.5516287871474641
dermatology-6,0.7255917159763314,0.8954918488462971
ecoli-0-1-3-7_vs_2-6,0.7961418143899897,0.9104969456013099
ecoli-0-1-4-6_vs_5,0.5267307692307692,0.9215617052889119
ecoli-0-1-4-7_vs_2-3-5-6,0.5662136358530832,0.835923052888472
ecoli-0-1-4-7_vs_5-6,0.5519218241042345,0.904005172452059
ecoli-0-1_vs_2-3-5,0.7937500000000001,0.7154041822008355
ecoli-0-1_vs_5,0.7775,0.7985731912844187
ecoli-0-2-3-4_vs_5,0.7098901098901099,0.8374945665779461
ecoli-0-2-6-7_vs_3-5,0.6260126012601259,0.7440498192666789
ecoli-0-3-4-6_vs_5,0.6881081081081081,0.8524638328945764
ecoli-0-3-4-7_vs_5-6,0.5651724137931035,0.8718931507477456
ecoli-0-3-4_vs_5,0.7147222222222221,0.8340870815966747
ecoli-0-4-6_vs_5,0.6950819672131148,0.8467422855286025
ecoli-0-6-7_vs_3-5,0.6286363636363635,0.7387775782384332
ecoli-0-6-7_vs_5,0.59075,0.8369405383183617
ecoli-0_vs_1,0.9078194532739987,0.5473031641814663
ecoli1,0.7579601865316151,0.5708756109628695
ecoli2,0.5857258938244854,0.8755409879024909
ecoli3,0.6755576649264357,0.8348701827407407
ecoli4,0.809493670886076,0.8187166943479209
flare-F,0.8602718861533564,0.8012889327962667
glass-0-1-2-3_vs_4-5-6,0.877420907013112,0.6101653624764197
glass-0-1-4-6_vs_2,0.6714643304130163,0.9379525384351275
glass-0-1-5_vs_2,0.564326375711575,0.9069470375438329
glass-0-1-6_vs_2,0.6594957983193277,0.9323680071420917
glass-0-1-6_vs_5,0.659047619047619,0.9215807302648172
glass-0-4_vs_5,0.7563587684069611,0.7713185580229645
glass-0-6_vs_5,0.5084175084175084,0.898725950355773
glass0,0.7201388888888889,0.7705997641288931
glass1,0.5298436308161708,0.6513899937139305
glass2,0.6837862048372649,0.9405965988884593
glass4,0.7738231917336396,0.7866854144148274
glass5,0.646070460704607,0.9347521271970513
glass6,0.9012115563839701,0.5551044503700007
habermanImb,0.649931412894376,0.6126729009128319
iris0,0.8868,0.7080870059371034
kr-vs-k-one_vs_fifteen,0.9998638634372706,0.9962599540788721
kr-vs-k-three_vs_eleven,0.7684947269156566,0.9382261682764733
kr-vs-k-zero-one_vs_draw,0.8225390012943661,0.905600734222075
kr-vs-k-zero_vs_eight,0.7506655294512936,0.9653050614360238
kr-vs-k-zero_vs_fifteen,1.0,0.9999999999999998
led7digit-0-2-4-5-6-7-8-9_vs_1,0.9023765144454801,0.5603585791945805
lymphography-normal-fibrosis,0.9917840375586855,0.8218253968253967
new-thyroid1,0.9014285714285714,0.6181811754371185
new-thyroid2,0.9014285714285714,0.6181811754371185
page-blocks-1-3_vs_4,0.8595559845559845,0.6612412521498284
page-blocks0,0.8684933586807589,0.6337205976336068
pimaImb,0.6540149253731344,0.5253573473819028
poker-8-9_vs_5,0.5478243902439024,0.9845325108099666
poker-8-9_vs_6,0.515945205479452,0.9815575081853206
poker-8_vs_6,0.5790894439967769,0.9894296872919653
poker-9_vs_7,0.8548728813559323,0.8873608187317168
segment0,0.8543060801024742,0.9178945626744144
shuttle-2_vs_5,0.9832024637219442,0.6419180733574608
shuttle-6_vs_2-3,0.7731818181818182,0.8552889321031502
shuttle-c0-vs-c4,0.9946673147856918,0.9209204068713879
shuttle-c2-vs-c4,0.975609756097561,0.6157679738562092
vehicle0,0.6402180920056232,0.8239922264896403
vehicle1,0.5946532056588982,0.693676722502834
vehicle2,0.5807792321626833,0.706612346994943
vehicle3,0.6204764597345396,0.6837791560418188
vowel0,0.943776292996783,0.5426878552354644
winequality-red-3_vs_5,0.801762114537445,0.9530885623902949
winequality-red-4,0.5659767141009056,0.9398721480292703
winequality-red-8_vs_6-7,0.5950484534713926,0.962367892326872
winequality-red-8_vs_6,0.6462904911180773,0.9417444414021722
winequality-white-3-9_vs_5,0.8022512010981468,0.900651957646585
winequality-white-3_vs_7,0.8699431818181818,0.67079370863641
winequality-white-9_vs_4,0.6723926380368097,0.9481476242551394
wisconsinImb,0.9943552338949829,0.9886386785288372
yeast-0-2-5-6_vs_3-7-8-9,0.7613036441765724,0.6297809762416522
yeast-0-2-5-7-9_vs_3-6-8,0.8448797365924438,0.5799446275370441
yeast-0-3-5-9_vs_7-8,0.5486842105263158,0.8881268238100672
yeast-0-5-6-7-9_vs_4,0.6043901837464547,0.8284485804040189
yeast-1-2-8-9_vs_7,0.5536895674300254,0.949299971541017
yeast-1-4-5-8_vs_7,0.5011563599798894,0.9493848699017717
yeast-1_vs_7,0.6247086247086249,0.8348478979601185
yeast-2_vs_4,0.7927412865794267,0.6445716895997141
yeast-2_vs_8,0.7119047619047619,0.8568043954499048
yeast1,0.5281366342977717,0.7411422691965475
yeast3,0.5732782842520306,0.880214543063745
yeast4,0.7593147517206463,0.8899235171388573
yeast5,0.9416982323232322,0.7039508154916819
yeast6,0.812363206152026,0.911599598886361
zoo-3,0.8020833333333333,0.9621527036192801
