folder_name,IQR_LMDD_std_auc,IQR_LMDD_std_avgprecision
abalone-17_vs_7-8-9-10,0.608469449,0.942945584
abalone-19_vs_10-11-12-13,0.57177673,0.982856704
abalone-20_vs_8-9-10,0.506919007,0.986990374
abalone-21_vs_8,0.752645503,0.912927065
abalone-3_vs_11,0.834086242,0.913337365
abalone19,0.542966864,0.991515778
abalone9-18,0.506012855,0.944841694
car-good,0.5,0.960069444
car-vgood,0.5,0.962384259
cleveland-0_vs_4,0.904567308,0.514860441
dermatology-6,0.758579882,0.96002121
ecoli-0-1-3-7_vs_2-6,0.646506778,0.95823842
ecoli-0-1-4-6_vs_5,0.648557692,0.946126031
ecoli-0-1-4-7_vs_2-3-5-6,0.535493654,0.862304925
ecoli-0-1-4-7_vs_5-6,0.512117264,0.890570885
ecoli-0-1_vs_2-3-5,0.618655303,0.812681142
ecoli-0-1_vs_5,0.762954545,0.737202152
ecoli-0-2-3-4_vs_5,0.531318681,0.875518314
ecoli-0-2-6-7_vs_3-5,0.70589559,0.599467305
ecoli-0-3-4-6_vs_5,0.581621622,0.870408263
ecoli-0-3-4-7_vs_5-6,0.582844828,0.874751914
ecoli-0-3-4_vs_5,0.715,0.81737153
ecoli-0-4-6_vs_5,0.641530055,0.867190671
ecoli-0-6-7_vs_3-5,0.845681818,0.566495392
ecoli-0-6-7_vs_5,0.849875,0.504552718
ecoli-0_vs_1,0.829170829,0.525793845
ecoli1,0.581958582,0.738185278
ecoli2,0.842632719,0.906621281
ecoli3,0.610773612,0.873801812
ecoli4,0.580617089,0.949127544
flare-F,0.503307645,0.927668784
glass-0-1-2-3_vs_4-5-6,0.807770961,0.626128452
glass-0-1-4-6_vs_2,0.527377972,0.917120516
glass-0-1-5_vs_2,0.607210626,0.911795175
glass-0-1-6_vs_2,0.566722689,0.917313194
glass-0-1-6_vs_5,0.506031746,0.933163497
glass-0-4_vs_5,0.647925033,0.76069188
glass-0-6_vs_5,0.581369248,0.797614017
glass0,0.633829365,0.72329787
glass1,0.569317315,0.663697086
glass2,0.507315617,0.920021444
glass4,0.611174895,0.884495261
glass5,0.558536585,0.933894982
glass6,0.921528425,0.603099674
habermanImb,0.606995885,0.632324248
iris0,0.6857,0.700897642
kr-vs-k-one_vs_fifteen,0.5,0.965240642
kr-vs-k-three_vs_eleven,0.558514366,0.968858131
kr-vs-k-zero-one_vs_draw,0.624105866,0.952424105
kr-vs-k-zero_vs_eight,0.5,0.981506849
kr-vs-k-zero_vs_fifteen,0.5,0.987688098
led7digit-0-2-4-5-6-7-8-9_vs_1,0.864299028,0.652874878
lymphography-normal-fibrosis,0.5,0.959459459
new-thyroid1,0.769206349,0.595947878
new-thyroid2,0.633968254,0.765569812
page-blocks-1-3_vs_4,0.666465573,0.661019841
page-blocks0,0.67453494,0.786815499
pimaImb,0.584764925,0.504638238
poker-8-9_vs_5,0.625268293,0.980572848
poker-8-9_vs_6,0.710465753,0.899200103
poker-8_vs_6,0.614564867,0.947576159
poker-9_vs_7,0.767213983,0.606381258
segment0,0.702053937,0.902764782
shuttle-2_vs_5,0.584396844,0.93119989
shuttle-6_vs_2-3,0.532272727,0.957021357
shuttle-c0-vs-c4,0.925104128,0.545050985
shuttle-c2-vs-c4,0.840108401,0.504761905
vehicle0,0.515914192,0.763382174
vehicle1,0.621650927,0.64808644
vehicle2,0.576078858,0.758909307
vehicle3,0.605045831,0.673658204
vowel0,0.714427122,0.818528571
winequality-red-3_vs_5,0.61732746,0.951858397
winequality-red-4,0.594034514,0.9526929
winequality-red-8_vs_6-7,0.500663746,0.97808799
winequality-red-8_vs_6,0.611459422,0.946882394
winequality-white-3-9_vs_5,0.598695951,0.973579964
winequality-white-3_vs_7,0.693181818,0.903697336
winequality-white-9_vs_4,0.645398773,0.973640327
wisconsinImb,0.528836368,0.6491517
yeast-0-2-5-6_vs_3-7-8-9,0.605050505,0.77343234
yeast-0-2-5-7-9_vs_3-6-8,0.542379597,0.855722412
yeast-0-3-5-9_vs_7-8,0.50379386,0.89357902
yeast-0-5-6-7-9_vs_4,0.527561968,0.869108641
yeast-1-2-8-9_vs_7,0.525754271,0.940372806
yeast-1-4-5-8_vs_7,0.573328306,0.923568022
yeast-1_vs_7,0.610567211,0.860500227
yeast-2_vs_4,0.715453352,0.794113205
yeast-2_vs_8,0.538203463,0.945907818
yeast1,0.544830367,0.740959643
yeast3,0.528942565,0.887393283
yeast4,0.688361178,0.93153923
yeast5,0.723484848,0.878218404
yeast6,0.50341122,0.977896987
zoo-3,0.714583333,0.956196402
