folder_name,MO_GAAL_std_auc,MO_GAAL_std_avgprecision
abalone-17_vs_7-8-9-10,0.6697822141560799,0.9829507898803133
abalone-19_vs_10-11-12-13,0.5112028301886793,0.9810459024047569
abalone-20_vs_8-9-10,0.6806267806267806,0.9906074038845284
abalone-21_vs_8,0.7042076089695137,0.9830808569739201
abalone-3_vs_11,1.0,1.0
abalone19,0.6399459802028005,0.9943869431314669
abalone9-18,0.6957287995023844,0.960078590100624
car-good,0.5546557643420604,0.965085521705987
car-vgood,0.6029511078218234,0.9712981976825029
cleveland-0_vs_4,0.81875,0.9524761924078129
dermatology-6,0.5263313609467455,0.9235160491248234
ecoli-0-1-3-7_vs_2-6,0.669968717413973,0.9171645225422331
ecoli-0-1-4-6_vs_5,0.7586538461538461,0.9462399539082482
ecoli-0-1-4-7_vs_2-3-5-6,0.5134224418735258,0.8940869232541164
ecoli-0-1-4-7_vs_5-6,0.550228013029316,0.7135183219762625
ecoli-0-1_vs_2-3-5,0.5214015151515151,0.835738411216116
ecoli-0-1_vs_5,0.8470454545454545,0.9251720873387497
ecoli-0-2-3-4_vs_5,0.7826923076923077,0.9258127028204483
ecoli-0-2-6-7_vs_3-5,0.6248874887488749,0.857560956743056
ecoli-0-3-4-6_vs_5,0.6921621621621622,0.9294954987856571
ecoli-0-3-4-7_vs_5-6,0.6296551724137931,0.9173024380421952
ecoli-0-3-4_vs_5,0.7841666666666667,0.9356157239897787
ecoli-0-4-6_vs_5,0.5718579234972677,0.8767935636484224
ecoli-0-6-7_vs_3-5,0.6127272727272727,0.8629882649093396
ecoli-0-6-7_vs_5,0.74,0.9222766774378026
ecoli-0_vs_1,0.6205612569248933,0.6809940605578301
ecoli1,0.7605676177104749,0.8478401703986813
ecoli2,0.5364978331527628,0.8654920681489116
ecoli3,0.8018035121025154,0.9092023558723984
ecoli4,0.5697784810126583,0.9483858944247411
flare-F,0.7336265884652982,0.9678992837895979
glass-0-1-2-3_vs_4-5-6,0.6452544207867196,0.5951360016137374
glass-0-1-4-6_vs_2,0.5406758448060075,0.9255234382474162
glass-0-1-5_vs_2,0.6698292220113852,0.8608969027699671
glass-0-1-6_vs_2,0.6615126050420168,0.9317772362490022
glass-0-1-6_vs_5,0.8031746031746032,0.7680309870485735
glass-0-4_vs_5,0.7121820615796519,0.83252090107105
glass-0-6_vs_5,0.6520763187429854,0.8560259701824127
glass0,0.5507936507936508,0.7210203191683939
glass1,0.5151601830663616,0.6705816580386221
glass2,0.588235294117647,0.8941950122437253
glass4,0.7470340604668964,0.9417876780563086
glass5,0.6184281842818429,0.9619581273672175
glass6,0.7990680335507923,0.9151202345171707
habermanImb,0.6089986282578875,0.782667845065427
iris0,0.6176,0.6334764865479371
kr-vs-k-one_vs_fifteen,0.6222743092549188,0.9132350400181827
kr-vs-k-three_vs_eleven,0.6341630114113179,0.957146322954412
kr-vs-k-zero-one_vs_draw,0.5727893589481572,0.9594190519530474
kr-vs-k-zero_vs_eight,0.7095190095887933,0.9653758289464376
kr-vs-k-zero_vs_fifteen,0.5637803084709826,0.8984453702056447
led7digit-0-2-4-5-6-7-8-9_vs_1,0.9341965117827188,0.5866413626335412
lymphography-normal-fibrosis,0.9753521126760564,0.9756737354959122
new-thyroid1,0.5146031746031746,0.8209833586941866
new-thyroid2,0.6757142857142857,0.5203078760925097
page-blocks-1-3_vs_4,0.6772844272844274,0.9573573204628483
page-blocks0,0.7201384592809337,0.68289817154993
pimaImb,0.6429701492537314,0.7058635772644707
poker-8-9_vs_5,0.6366634146341463,0.9506314310811723
poker-8-9_vs_6,0.5846712328767123,0.9497764583109648
poker-8_vs_6,0.5340048348106365,0.9808958121634231
poker-9_vs_7,0.8654661016949152,0.9797219320035255
segment0,0.6296831011333286,0.8236577796671418
shuttle-2_vs_5,0.6398118476040554,0.9795038568199355
shuttle-6_vs_2-3,0.7268181818181818,0.9685650098364146
shuttle-c0-vs-c4,0.5041007825084113,0.8476101358680191
shuttle-c2-vs-c4,0.6964769647696477,0.7942495126705653
vehicle0,0.5444222658889502,0.7128002279805978
vehicle1,0.6031151780677397,0.7882605974220445
vehicle2,0.6011876935662946,0.6826942609230943
vehicle3,0.5403324206892447,0.7563987056201872
vowel0,0.540744865132393,0.8996093977834482
winequality-red-3_vs_5,0.539647577092511,0.9843046033153852
winequality-red-4,0.5177329200126926,0.9682999567911134
winequality-red-8_vs_6,0.5555555555555556,0.9594999672966728
winequality-red-8_vs_6-7,0.5272135935218372,0.9661244017670072
winequality-white-3-9_vs_5,0.5059162663006177,0.9588672242748024
winequality-white-3_vs_7,0.5107386363636364,0.9171102131686747
winequality-white-9_vs_4,0.6797546012269939,0.974791922829181
wisconsinImb,0.9847902295601041,0.7979439117788603
yeast-0-2-5-6_vs_3-7-8-9,0.6225459009989397,0.925399255769788
yeast-0-2-5-7-9_vs_3-6-8,0.5367263798203025,0.9099902409706133
yeast-0-3-5-9_vs_7-8,0.5399561403508772,0.9066904492155933
yeast-0-5-6-7-9_vs_4,0.5193817568956304,0.8993927717423322
yeast-1-2-8-9_vs_7,0.5346055979643766,0.9506294036103888
yeast-1-4-5-8_vs_7,0.5563097033685269,0.9582786948810046
yeast-1_vs_7,0.6506604506604506,0.8451261823972777
yeast-2_vs_4,0.7338754076144497,0.5319447228361578
yeast-2_vs_8,0.664069264069264,0.9688517626941582
yeast1,0.5397629227013113,0.7263110527078767
yeast3,0.7906610069523459,0.7503061832757764
yeast4,0.6380416786393552,0.9414048115173788
yeast5,0.7052083333333334,0.9420929116409726
yeast6,0.5254461204771763,0.9729115747693381
zoo-3,0.5729166666666666,0.7474997045964789
