folder_name,PCA_std_auc,PCA_std_avgprecision
abalone-17_vs_7-8-9-10,0.5965970961887477,0.9137002666409915
abalone-19_vs_10-11-12-13,0.5609669811320754,0.9819970838928855
abalone-20_vs_8-9-10,0.6133903133903135,0.9594520712022406
abalone-21_vs_8,0.8328294280675232,0.6340776265343175
abalone-3_vs_11,1.0,1.0
abalone19,0.5371876508932882,0.9915280315933218
abalone9-18,0.6769299882507429,0.8595703411794562
car-good,0.5273082265377258,0.9615628630832264
car-vgood,0.5495397566954994,0.9562719154065308
cleveland-0_vs_4,0.9139423076923078,0.5370064799045121
dermatology-6,0.9039940828402366,0.5756613551640146
ecoli-0-1-3-7_vs_2-6,0.8811261730969762,0.6365512871815393
ecoli-0-1-4-6_vs_5,0.801923076923077,0.7697097132783123
ecoli-0-1-4-7_vs_2-3-5-6,0.7938897001010896,0.566265492757086
ecoli-0-1-4-7_vs_5-6,0.7906188925081433,0.6464328888160791
ecoli-0-1_vs_2-3-5,0.8212121212121212,0.5937522733083405
ecoli-0-1_vs_5,0.8672727272727273,0.5653875900495787
ecoli-0-2-3-4_vs_5,0.793956043956044,0.745773925021749
ecoli-0-2-6-7_vs_3-5,0.7997299729972998,0.6157670470420423
ecoli-0-3-4-6_vs_5,0.7943243243243243,0.7527224985008873
ecoli-0-3-4-7_vs_5-6,0.7667241379310346,0.6889921765277004
ecoli-0-3-4_vs_5,0.7966666666666666,0.7444099207444761
ecoli-0-4-6_vs_5,0.7737704918032786,0.742906883979928
ecoli-0-6-7_vs_3-5,0.8059090909090909,0.6025074678811323
ecoli-0-6-7_vs_5,0.80725,0.6846771437550396
ecoli-0_vs_1,0.8538733993279448,0.5291764327280071
ecoli1,0.572782429925287,0.7496261364400381
ecoli2,0.5284398699891657,0.8513831866308317
ecoli3,0.6662553393450403,0.8413505900986634
ecoli4,0.8188291139240507,0.7797902372071475
flare-F,0.8339016572324899,0.8054531243227248
glass-0-1-2-3_vs_4-5-6,0.871887405268856,0.6072740926936382
glass-0-1-4-6_vs_2,0.6508135168961202,0.935635314348348
glass-0-1-5_vs_2,0.5650853889943074,0.9066261133099011
glass-0-1-6_vs_2,0.6272268907563026,0.9284783132493906
glass-0-1-6_vs_5,0.6742857142857143,0.9035638686044596
glass-0-4_vs_5,0.6907630522088354,0.7972420268131424
glass-0-6_vs_5,0.6060606060606061,0.7669281027392059
glass0,0.6707341269841269,0.7580290027506194
glass1,0.5786613272311213,0.6687958278285682
glass2,0.6894595401612422,0.9420111532615654
glass4,0.7998469192499043,0.6930378188669886
glass5,0.6043360433604337,0.9299236347555805
glass6,0.8943150046598323,0.5892050523032489
habermanImb,0.5227434842249657,0.7072601024319942
iris0,0.8817999999999999,0.6622485495805442
kr-vs-k-one_vs_fifteen,0.9999112152851766,0.9975774517920584
kr-vs-k-three_vs_eleven,0.6732028688347306,0.9616733954623053
kr-vs-k-zero-one_vs_draw,0.7093977791402684,0.9390158746206257
kr-vs-k-zero_vs_eight,0.6657620635289861,0.9721500793845284
kr-vs-k-zero_vs_fifteen,1.0,0.9999999999999998
led7digit-0-2-4-5-6-7-8-9_vs_1,0.8484555984555985,0.6977185204987931
lymphography-normal-fibrosis,0.9964788732394366,0.9305555555555556
new-thyroid1,0.8822222222222222,0.5307469110339447
new-thyroid2,0.8822222222222222,0.5307469110339447
page-blocks-1-3_vs_4,0.6077059202059202,0.7134714979267512
page-blocks0,0.9027502515140912,0.5055908473252806
pimaImb,0.6321567164179104,0.5332862588044744
poker-8-9_vs_5,0.5630243902439025,0.9636143470269752
poker-8-9_vs_6,0.5551232876712329,0.9517727031495402
poker-8_vs_6,0.5505640612409348,0.9878402485181231
poker-9_vs_7,0.7981991525423728,0.8609768928313295
segment0,0.7423893127074404,0.9081297066170605
shuttle-2_vs_5,0.952693290355628,0.6384907933552016
shuttle-6_vs_2-3,0.9177272727272727,0.6206195516811955
shuttle-c0-vs-c4,0.9985179042880697,0.9370869020745798
shuttle-c2-vs-c4,0.97289972899729,0.5205026455026455
vehicle0,0.5964132874573796,0.7760041247214433
vehicle1,0.5711135369579392,0.7144811106760759
vehicle2,0.5706480453456437,0.7343155086768933
vehicle3,0.5921001726087732,0.7138143459785979
vowel0,0.9395446671615936,0.5642914799316006
winequality-red-3_vs_5,0.8126284875183554,0.9560953453668489
winequality-red-4,0.5847225951329054,0.9386849239033729
winequality-red-8_vs_6-7,0.6079915040488517,0.9637886541468341
winequality-red-8_vs_6,0.6596133751306166,0.945083884087797
winequality-white-3-9_vs_5,0.7961564859299932,0.8317228697551589
winequality-white-3_vs_7,0.8405113636363637,0.5805197373661969
winequality-white-9_vs_4,0.6466257668711657,0.9514870060676512
wisconsinImb,0.9589411587319537,0.957770482241212
yeast-0-2-5-6_vs_3-7-8-9,0.7602544784865226,0.6618264625819161
yeast-0-2-5-7-9_vs_3-6-8,0.8192644678832524,0.6959797251267086
yeast-0-3-5-9_vs_7-8,0.6376315789473684,0.8123246906308718
yeast-0-5-6-7-9_vs_4,0.6525259999177868,0.8557814794064353
yeast-1-2-8-9_vs_7,0.6442748091603053,0.9435047240614542
yeast-1-4-5-8_vs_7,0.5549522373051785,0.9518524432059051
yeast-1_vs_7,0.6616938616938617,0.8726785465053908
yeast-2_vs_4,0.8679964426375302,0.6779473623998888
yeast-2_vs_8,0.745995670995671,0.7227771339158235
yeast1,0.5340712999480772,0.729387899743193
yeast3,0.5641942569999489,0.884432871339565
yeast4,0.7463295157560582,0.927480838556407
yeast5,0.8850063131313132,0.8849886729307406
yeast6,0.7602287291728285,0.9467759823173374
zoo-3,0.6458333333333333,0.9263525007710223
